title,artist,album,isrc,isFound
Jumpsuit,"Twenty One Pilots",Trench,USAT21804142,1
"Stars Shine Brightest (In The Darkest Of Night) F. Rick Warren",Cunninlynguists,Oneirology,TCAAW1158476,1
"Blood on Me",Sampha,Process,UK7MC1600028,1
"Must've Been (feat. DRAM) - Chromeo x THEY. Version","Chromeo, DRAM, THEY.","Must've Been (feat. DRAM) [Chromeo x THEY. Version]",USAT21810538,1
"T69 Collapse","Aphex Twin","Collapse EP",GBBPW1800110,1
"Gloomy Sunday","The Toxic Avenger",Ξ,FR8V41500080,1
"A Monster","Carpenter Brut, Danger, The Toxic Avenger, Lorn, Scattle, Waveshaper Kn1ght","Furi (Original Game Soundtrack)",FR9W11612102,1
Flexin',"Tkay Maidza, Duckwrth",Flexin',AUUM71800768,1
"Best Hugs",Dram,"That's a Girls Name",USAT21804185,1
Levitate,"Twenty One Pilots",Trench,USAT21804361,1
"How I Feel (feat. 2 Chainz, A$AP Ferg & FKi 1st)","Good Gas","Good Gas, Vol. 1 - EP",USZ4V1800032,1
"Szechuan Peppercorns","Meyhem Lauren, DJ Muggs, Action Bronson, Hologram","Gems from the Equinox",GBWWP1703196,1
"Diamonds 2","Freddie Gibbs",Freddie,USUYG1204468,1
Power,"Roc Marciano","RR2: The Bitter Dose",TCADN1858738,1
Carrollton,$uicideBoy$,"I Want to Die In New Orleans",QZAPK1700041,1
"Gold Rush - Photay Remix","Death Cab for Cutie, Photay","Gold Rush (Photay Remix)",USAT21803410,1
"Marvelous Day (feat. Lil Uzi Vert & Gunna)","Kap G","Mood - Single",USAT21704529,1
Animal,"Troye Sivan",Bloom,AUUM71800527,1
"Role Model","Nacho Picasso","Role Model",QMDA61860556,1
"Where Ya Horns At","Bodega Bamz","Strictly 4 My P.A.P.I.Z",USUYG1164385,1
ugkog,Ethereal,"Final Fantasy",GBLFP1591691,1
Games,"Alex Wiley","Tangerine Dream",USUYG1104726,1
Opps,"Vince Staples, Yugen Blakrok","Black Panther The Album Music From And Inspired By",USUM71714103,1
"Trap and a Dream","A$AP Ferg","Still Striving",USRC11701789,1
"Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott","Watch (feat. Lil Uzi Vert & Kanye West) - Single",USSM11804504,1
"Sunday Night (feat. Phi)","070 Shake","Sunday Night (feat. Phi) - Single",USUYG1098351,1
"Instinct (feat. MadeinTYO)","Roy Woods, MadeinTYO",Nocturnal,USWB11602465,1
"With or Without",anders,669,TCADB1773499,1
Questions,DaniLeigh,"Summer With Friends",USUM71708816,1
Lurkin,DaniLeigh,"Summer With Friends",USUM71707716,1
"Rivals (feat. KILLY and Smooky MarGielaa)","No Jumper, KILLY, Smooky MarGielaa","Rivals (feat. KILLY and Smooky MarGielaa)",USAT21803402,1
"Bruce Banner","Mick Jenkins","Bruce Banner",QMKSC1800086,1
"Kept Back (feat. Lil Pump) [Bonus Track]","Gucci Mane","Evil Genius",USAT21810437,1
Firepower,"Judas Priest",FIREPOWER,GBARL1702141,1
"The Glow, Pt. 2",Microphones,"The Glow, Pt. 2",USI4R1130482,1
"I Cannot Fucking Wait Til Morrissey Dies",JPEGMAFIA,Veteran,QM24S1800056,1
"My Own Summer (Shove It)",Deftones,"Around the Fur",USRE11600084,1
"Just Dumb Enough to Try","Father John Misty","Disappointing Diamonds Are the Rarest of Them All / Just Dumb Enough to Try",USSUB1824503,1
"Gotta Cheer Up","Cotton Jones","Paranoid Cocoon",US33X0907901,1
"Hey, Snow White",Destroyer,"This Night",USMRG0349006,1
Distrust,"Lunice, Denzel Curry, J.K. The Reaper, Nell",CCCLX,GB5P51700090,1
"All Nite (feat. Vince Staples)","Clams Casino","32 Levels (Deluxe)",USSM11601831,1
"Demons (Lunice remix)",Joji,"In Tongues (Deluxe)",USUYG1179146,1
"Gravedigger's Chant","Zeal  Ardor","Stranger Fruit",CH8091800608,1
"We Can't Be Found","Zeal  Ardor","Stranger Fruit",CH8091800618,1
"You Ain't Coming Back","Zeal & Ardor","Stranger Fruit",CH8091800616,1
"The Way U Do",Shlohmo,"Vacation - Single",US25X1083608,1
"Don't You Dare","Zeal  Ardor","Stranger Fruit",CH8091800610,1
"Selfish - Shlohmo Remix","PnB Rock","Selfish (Shlohmo Remix)",USAT21701596,1
Selfish,"PnB Rock",Selfish,USUYG1121874,1
Ditch,Shlohmo,"Dark Red",USMTD1505894,1
"Apathy (feat. D33J)",Shlohmo,"Dark Red",USMTD1505892,1
"Lava Lamp",Thundercat,Drunk,US25X1090538,1
"Keep Your Name","Dirty Projectors","Keep Your Name",GBCEL1600389,1
"Computer Luv (feat. Steve Lacy)","Ravyn Lenae, Steve Lacy","Crush EP",USAT21800536,1
Waft,serpentwithfeet,Soil,US38W1836609,1
Mare,"The Midnight Hour, Adrian Younge, Ali Shaheed Muhammad, Linear Labs, Ladybug Mecca","The Midnight Hour (Deluxe Version)",QM9K31200284,1
Lifestyles,"Sean Nicholas Savage",Yummycoma,CA21O1706303,1
Suddenly,"Drugdealer, Weyes Blood","The End Of Comedy",GBCEL1600145,1
"Try and You Try","Cleo Sol","Winter Songs",UKMEH1700002,1
"Velho Parente","Arthur Verocai","Arthur Verocai",BRWMB0201053,1
"Why Don't You","Cleo Sol","Why Don't You",TCADB1791147,1
"What Got In The Way",Turnover,"Good Nature",QMCE71301448,1
"Two Beers In","Free Throw","Those Days Are Gone",QMQRB1400086,1
Seven,"Sunny Day Real Estate","Diary (2009 Edition)",USSUB0984601,1
"Is It Any Wonder?","Durand Jones The Indications","P3 Pop Årets Låtar 2005",QMFME1589849,1
"On The Vista","Blakroc feat. Mos Def, Blakroc, Mos Def",Blakroc,US7FX0900002,1
Zero,"Jean Grae / Quelle Chris","Everything's Fine",QMDA61829650,1
"Cold Blooded","Gary Clark, Jr.","The Story of Sonny Boy Slim",USWB11506684,1
"Psychotic Girl","The Black Keys","Attack & Release",USNO11500258,1
"Rocky's Late Night","Albert Hammond, Jr.","Francis Trouble",USP6L1700231,1
Control,"John Frusciante",Curtains,USRC20400103,1
"A Name","John Frusciante",Curtains,USRC20400101,1
"Going Inside","John Frusciante","To Record Only Water For Ten Days (U.S. Version)",USWB10003076,1
"Johnny B. Goode","Chuck Berry","The Chess Box",USMC15719963,1
"Strange Embrace",Kitten,"Strange Embrace",USQX91702721,1
"Late to the Flight","Laura Marling, LUMP, Mike Lindsay",LUMP,USJ5G1816501,1
"Last Last Fall",Jonwayne,"Last Last Fall",US25X1800671,1
"Once in a Lifetime","Angelique Kidjo","Remain in Light",TCADP1838216,1
"All To You","Sabrina Claudio","All To You",USAT21801274,1
"Foolin' Around","The Lemon Twigs","Foolin' Around / Tailor Made",GBAFL1800038,1
"Knockin' on Your Screen Door","John Prine","The Tree of Forgiveness",USA2A1804601,1
"33rd Blakk Glass","City Morgue, ZillaKami, SosMula","33rd Blakk Glass",USUM71803661,1
"Boblo Boat (feat. J. Cole)","Royce Da 5'9""","Boblo Boat (feat. J. Cole)",USKO11800066,1
"Bet Ain't Worth the Hand","Leon Bridges","Good Thing",USSM11800490,1
"Need A Little Time","Courtney Barnett","Need A Little Time",GBX721700212,1
"Emerald Rush","Jon Hopkins",Singularity,GBCEL1700692,1
"You Fucken Sucker","Paul de Jong","You Fucken Sucker",USY6C1819809,1
"Out Of My Head","CHVRCHES, WEDNESDAY CAMPANELLA","Out Of My Head",GBZN81800038,1
"No Bystanders","Travis Scott",ASTROWORLD,USSM11806663,1
"bless ur heart",serpentwithfeet,soil,US38W1836611,1
"Gold Purple Orange","Jean Grae, Quelle Chris","Gold Purple Orange",QMDA61873542,1
"All Wordz Are Made Up","The Voidz",Virtue,USRC11800013,1
Breadwinner,"Everything Everything","A Deeper Sea - EP",GBARL1800051,1
"I'll Make You Sorry","Screaming Females","All at Once",USA2B1703467,1
"Moon River","Frank Ocean","Moon River - Single",QM24S1802611,1
Pointlessness,"The Voidz",Virtue,USRC11800021,1
"An Acre of Land","PJ Harvey, Harry Escott","An Acre of Land",UKESQ1800002,1
"So Badly (Single Version)",JMSN,"So Badly (Single Version)",TCADL1870058,1
"Hot Pink","Let's Eat Grandma","I'm All Ears",GBKZV1800003,1
QYURRYUS,"The Voidz",Virtue,USRC11800008,1
Ohsh,"Jean Grae, Quelle Chris, Hannibal Buress",Ohsh,QMDA61831277,1
"If the Car Beside You Moves Ahead","James Blake","If the Car Beside You Moves Ahead - Single",GBUM71800104,1
Dunce,"Ed Schrader's Music Beat",Riddles,US22N1812501,1
"Heart Attack",Tune-Yards,"I can feel you creep into my private life",GBAFL1700364,1
"Burn Rubber","Freddie Gibbs","Burn Rubber",TCADS1874086,1
"Diamonds & Wood",UGK,"Ridin' Dirty",USJI10300103,1
"Int'l Players Anthem (I Choose You)",UGK,"The Essential UGK",USJI10700217,1
"Hot Summer","DJ Durel, Migos","Hot Summer",USUG11801523,1
"Ice Age","Denzel Curry","32 Zel",USC4R1702270,1
"New World Water","Mos Def","Black On Both Sides",USRW50200232,1
Flamingo,"Kero Kero Bonito","Flamingo - Single",GBKPL1522424,1
Perception,"Mick Jenkins",Wave[s],QMKSC1500018,1
Phoenix,Rhye,Blood,USC4R1702304,1
"Blood Knows",Rhye,Blood,USC4R1702302,1
Open,Rhye,Woman,GBUM71205660,1
"Soundtrack 2 My Life","Kid Cudi","Man on the Moon: The End of Day (Deluxe)",USUM70981690,1
