spotify_track_uri,ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,reason_start,reason_end,shuffle,skipped,offline
spotify:track:4PjP1pyA9pDDByAheDumTH,2023-12-15 11:12:22+00:00,willexmen,ios,2763,SE,83.191.119.210,unknown,I Be U,Future,Honest,fwdbtn,fwdbtn,True,True,True
spotify:track:3d3fsFDltoPZy1ninn5nJc,2023-12-15 11:12:24+00:00,willexmen,ios,1230,SE,83.191.119.210,unknown,Cupidwing,Clams Casino,Moon Trip Radio,fwdbtn,fwdbtn,True,True,True
spotify:track:4bD3ZXZL95RVw5omePyv6L,2023-12-15 11:12:26+00:00,willexmen,ios,2159,SE,83.191.119.210,unknown,A Song About Fishing,Genesis Owusu,Smiling with No Teeth,fwdbtn,fwdbtn,True,True,True
spotify:track:6tByydPskASjm9jTPkNQq0,2023-12-15 11:12:29+00:00,willexmen,ios,2321,SE,83.191.119.210,unknown,Numb Numb Juice,ScHoolboy Q,CrasH Talk,fwdbtn,fwdbtn,True,True,True
spotify:track:0MB2hmvkkIX8tngRUcahx0,2023-12-15 11:12:30+00:00,willexmen,ios,1416,SE,83.191.119.210,unknown,EMBER (crashed) (crashed)_,BABii,SCREAMER,fwdbtn,fwdbtn,True,True,True
spotify:track:6B23jbeRdLVJKDD9w1uGTk,2023-12-15 11:12:31+00:00,willexmen,ios,1602,SE,83.191.119.210,unknown,No Safety,LLID,No Safety,fwdbtn,fwdbtn,True,True,True
spotify:track:7GEidxhfGNteiW9n0kLyxH,2023-12-15 11:18:11+00:00,willexmen,ios,340480,SE,83.191.119.210,unknown,"Move That Dope (feat. Pharrell, Pusha T & Casino)",Future,Honest,fwdbtn,trackdone,True,False,True
spotify:track:02WDt2eCNOU2mt0DF5w678,2023-12-15 11:21:32+00:00,willexmen,ios,200425,SE,83.191.119.210,unknown,Heavy (with Lil Uzi Vert),Nigo,Heavy,trackdone,trackdone,True,False,True
spotify:track:0EZMXJMWf0tLKRWwCiA6Sx,2023-12-15 11:23:36+00:00,willexmen,ios,122254,SE,83.191.119.210,unknown,Let's Get High,Dr. Dre,2001,trackdone,fwdbtn,True,True,True
spotify:track:00ZC90LXgPyTa0Igw5et6f,2023-12-15 11:23:55+00:00,willexmen,ios,18761,SE,83.191.119.210,unknown,Skateboard Sue,The Boppers,Number 1,fwdbtn,fwdbtn,True,True,True
spotify:track:4K3uvMYzUlmexnL5BkqRTN,2023-12-15 11:24:11+00:00,willexmen,ios,16277,SE,83.191.119.210,unknown,My Gang,Young Nudy,EA Monster,fwdbtn,fwdbtn,True,True,True
spotify:track:35ps5LE8ix9WqrEOJF4Nlb,2023-12-15 11:25:01+00:00,willexmen,ios,50596,SE,83.191.119.210,unknown,Careful,Teezo Touchdown,Careful,fwdbtn,fwdbtn,True,True,True
spotify:track:6EX65PNGYazpkcktnzWiJr,2023-12-15 11:25:04+00:00,willexmen,ios,2438,SE,83.191.119.210,unknown,Queens,FLEE,Flee Going Stoopid,fwdbtn,fwdbtn,True,True,True
spotify:track:5tHf0v419Ia09AS9sEK6iF,2023-12-15 11:25:08+00:00,willexmen,ios,4342,SE,83.191.119.210,unknown,Family and Loyalty,Gang Starr,Family and Loyalty,fwdbtn,fwdbtn,True,True,True
spotify:track:78kar2tZk7655xZMibzXO3,2023-12-15 11:25:11+00:00,willexmen,ios,2229,SE,83.191.119.210,unknown,Oi,Lagum,Coisas da Geração,fwdbtn,fwdbtn,True,True,True
spotify:track:1CfCme9SvYiCwegwOS6rKH,2023-12-15 11:25:14+00:00,willexmen,ios,3204,SE,83.191.119.210,unknown,The End,Shlohmo,The End,fwdbtn,fwdbtn,True,True,True
spotify:track:4dVbhS6OiYvFikshyaQaCN,2023-12-15 11:25:16+00:00,willexmen,ios,1927,SE,83.191.119.210,unknown,My Hero,Foo Fighters,The Colour And The Shape,fwdbtn,fwdbtn,True,True,True
spotify:track:72yUxdefdWCU5aAe31t4fb,2023-12-15 11:27:39+00:00,willexmen,ios,144778,SE,83.191.119.210,unknown,MainStream Tron,BabyTron,Megatron,fwdbtn,trackdone,True,False,True
